,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@sav_says_ @Mario_Esq2 You can post over over an hour of 480p video on Twitter now,3071,296,2023-05-12 08:50:59+00:00
1,elonmusk,@CollinRugg This is next-level,6019,690,2023-05-12 07:05:32+00:00
2,elonmusk,As seen by an unaffected third party,12281,846,2023-05-12 07:04:51+00:00
3,elonmusk,Wow https://t.co/xl869dfxSR,51473,10318,2023-05-12 06:56:51+00:00
4,elonmusk,@icreatelife 🤣🤣,1276,74,2023-05-12 06:53:16+00:00
5,elonmusk,The most entertaining outcome is the most likely,67994,6901,2023-05-12 06:49:10+00:00
6,elonmusk,@ZubyMusic Semaglutide actually works,3885,198,2023-05-12 06:46:09+00:00
7,elonmusk,@teslaownersSV Yup,3024,170,2023-05-12 06:43:42+00:00
8,elonmusk,@JeffKirdeikis Random partial reinforcement is powerful 👀,3987,233,2023-05-12 06:43:07+00:00
9,elonmusk,@KanekoaTheGreat @EndWokeness It will get better rapidly,4352,316,2023-05-12 06:37:01+00:00
