Username,Text,summary,reply
charlesmcurry,"@AmazonHelp Allison thanks for your reply.
ORDER # 114-2154189-1566613",Neutral,
SteelCity_Burg,@AmazonHelp Why bother?  It's constant.,negative,
GCOURTENAY171,@AmazonHelp @_ferheredia_ Netflix&gt;&gt;&gt;&gt;&gt;&gt;&gt;,neutral,
anand_rathi,@AmazonHelp I had brought Ac after seeing return Replacement option but now amazon is not helping me in return or r… https://t.co/S1P275uFJq,negative,
valleymike07,"@AmazonHelp Thank you! Yes, we are waiting till Friday which is the last day the item is supposed to show up and th… https://t.co/eudZbl8p07",neutral,
K_moreas,@AmazonHelp Is it all..? Didn’t hear the news about my refund https://t.co/VRyBW2mUjt,Neutral,
Amandee54377118,@AmazonHelp Already follow why you are so rude I told you several times I follow your page please help me.,The tone of the user in the tweet is negative.,
darktodash,@AmazonHelp @amazon this is your most useless feature. The remote doesn’t even ring until I’ve already ransacked my… https://t.co/HFwqR3HrIH,Negative,
Thehighestkey,@AmazonHelp @charlesmcurry Stop trying to deflect &amp; send his refund  🙄,negative,
Amandee54377118,@AmazonHelp Check your DM why you are sounding rude?,negative,
baaabyarmy,@AmazonHelp Wdym unavailable? My friend can still see it. Please see screenshot! How come we are seeing 2 different… https://t.co/R4q1A3wvzp,Neutral,
charlesmcurry,@AmazonHelp I see my normal list of orders at the provided link.,neutral,
Mumalmumal13463,@AmazonHelp What do i have to do that i can get my refund,The tone of the user in the tweet is neutral.,
kklappco,"@AmazonHelp It was completed earlier, referencing my email address on file.   I am trying not to add this to my tho… https://t.co/GTH1UlVb89",Neutral,
K_moreas,"@AmazonHelp Thank you Shannon. I deleted my personal information. 
How many days i should wait normally..?",The tone of the user in the tweet is positive.,
KentuckyPatrio2,@AmazonHelp So no response? Typical…,negative,
NAVJOTSING92319,"Hello Amazon
I Didn't Recieved Any Refund Or My Printer I Beg You To Plz Give Me My Refund Or My Printer You Are Al… https://t.co/anIJf3Eq91",negative,
eht1eht1eht,"@AmazonHelp Not an adequate response, in any way.  How do I make yet another complaint about your shit delivery people?",The tone of the user in the tweet is negative.,
chriscrond,@AmazonHelp I did tons of research and looked at all the reviews over time and it seems like a legitimate company.… https://t.co/963Kq7tZVx,Neutral,
chriscrond,@AmazonHelp And I didn't want to JYNX it but my experience with Amazon customer services has improved greatly the l… https://t.co/u11d8PSVg2,positive,
GrapeJuiceMe,@AmazonHelp Hello. I just chatted with someone online. Should be receiving a refund. Thank you anyways…..The replac… https://t.co/kWJDR8e0Fy,neutral,
