Tweet ID,Username,Text
1658690865811058696,weprintonthat,@AmazonHelp Amazon packed well delivered fast just a bad product box
1658690747825266690,jpawaninder,"@AmazonHelp It’s not about the refund, it’s about fake product and customer trust on Amazon. Why Amazon don’t check… https://t.co/SFXeZ4IuWs"
1658690530564530176,nibaofficial_13,@amazonIN Hi @AmazonHelp i haven't received my prize what do i do to claim?
1658690419629371392,MustLoveTea7,@AmazonHelp Its now been 7 days and I still haven't got it.
1658690147242901504,JosephRYE94,"@AmazonHelp I use both the shopping app and the website. I made a phone call about it, but there was no solution. I… https://t.co/fB7ZbZu5lM"
1658689523373727746,Brigitt93563337,@AmazonHelp Ok I officially give up. It's still not working . I will not try again. You better reach out to me. I w… https://t.co/hTA5TKMraL
1658689025560186881,PiyushR29234436,@amazonIN @AmazonHelp what is going on here? Same address same item but different delivery time with a gap of 1 mon… https://t.co/QFy1TrSWiJ
1658688738418126849,JosephRYE94,@AmazonHelp Hello. “https://t.co/PRrMyceUMA”
1658688549804470272,MohdZee83666106,"RT @Saidul885: @AmazonHelp Order ID - 406-1439970-4381149 
I am complaining from  5 month but concern team whenever call says team is worki…"
1658688496100605954,Agent00sonic,"@AmazonHelp Shall and Will! It was through the seller's website through email, but I will try through the page that was provided! Thank you!"
1658688394283855872,jpawaninder,"@AmazonHelp Just made a return request for the same, what else I can do? 

@JBLaudio"
1658688227535122432,HPadalekar,"@AmazonHelp @amazonIN  tracking id.323958282633 Order no 408-0469810-5589911
having issues with this  tracking no s… https://t.co/vd1Fs7FPq3"
1658687980746465280,bajpaiankit11,@praveenbajpai14 @amazonIN @amazon @AmazonNews_IN @AmazonHelp Customer care call kro refund kre turnt .
1658687876853551104,swiftsadprose,@AmazonHelp the link just takes me to your basic customer service page and where i don’t see any option for “delive… https://t.co/5LF1dkqRom
1658687801993625600,JosephRYE94,"When i want to connect to online chat i get ""we hit a snag with chat"" error. Can you help me fix this? @AmazonHelp"
1658687786529214466,EddieFreshMagi1,@AmazonHelp The matter has since been resolved I thank you and appreciate your Amazon services
1658687391073452032,badrik1216,RT @badrik1216: @AmazonHelp Your rescue team said advance refund will be assigned if it continuously fails to pickup. But it's not happenin…
1658686940848484352,anilntech,@AmazonHelp Okay noted. Pl needful about my request
1658686858644328449,badrik1216,@AmazonHelp Your rescue team said advance refund will be assigned if it continuously fails to pickup. But it's not… https://t.co/XAC36uvx3q
1658686782077292544,66thakur99,"@AmazonHelp On item's page, it is clearly mentioned that over ₹499 order it will be dispatched free, still ₹40 deli… https://t.co/OILJFe2V8s"
1658686577764347910,Dillguy9,"@AmazonHelp Restarted the device and the issue is a little better, but it still took two minutes for the first song to load"
1658685301504749569,Ramesh_2828,@AmazonHelp DM the mail id
1658684563667955712,yogi4332,"@amazonIN @amazon @AmazonHelp Regarding order delivered on 8th May, I am facing a lot of issues to get the order ba… https://t.co/jUWsUcVMAk"
1658683544875716609,BandBajaateRaho,RT @panujji: @AmazonHelp What shud I do with ur corrective action? I don't care if u minimise or not . I am awaiting call from @AmitAgarwal…
1658683472251088896,TurboDingus,@AmazonHelp yea but if it was a box I’d understand. It was a leather bound notebook in thin plastic wrapping that w… https://t.co/FOYdHNq6yX
1658683309193596928,BandBajaateRaho,"RT @Saurav_Rao_jr: 🚨 Urgent Appeal to @AmazonHelp 🚨
I'm deeply disappointed &amp; frustrated by the complete lack of response, refund, or repla…"
1658682811874934785,shashank2393g,"@AmazonHelp ""Disappointed with @amazon's lack of response despite being asked to wait 3-5 days. It's been well beyo… https://t.co/cHl8UE9cTj"
1658682222822707202,Zaschke,"@AmazonHelp No dispatch date provided on @amazonDE's website under ""track item"", order was advertised with delivery… https://t.co/myKHq3YYfQ"
1658682133999910914,GJMartinez81,@AmazonHelp There's no need for feedback. It keeps happening over and over. There's readers/collectors that don't a… https://t.co/E4Z1osmIoD
1658681861961576455,Prabhak76080582,"#SamsungWashingMachineQuiz @SamsungIndia @amazonIN @Samsung @amazonpay #SamsungWashingMachine @AmazonHelp
I played… https://t.co/8FzdwkBe3i"
1658681787646656512,consumr_rights,RT @52fac9ffeb9e40e: i placed an order of new mobile 115G prime redmi note through amazon app by paying 15999/_ Rupees in advance but i hav…
1658681630783930369,swiftsadprose,@AmazonHelp your link to customer service doesn’t take me to anything that’s helpful to me. i select in the email e… https://t.co/u7xRHwBccK
1658681569677312001,GamitHe81050143,"day 29 successfully completed 29 day's under  amazons customer harrasment program
@amazonIN delivered  damaged prod… https://t.co/2X6OOxe1Uu"
1658681407290630144,GamitHe81050143,@AmazonHelp unable to connect proper team coz my account is on hold
1658680591611736065,malikbabu481,RT @52fac9ffeb9e40e: i placed an order of new mobile 115G prime redmi note through amazon app by paying 15999/_ Rupees in advance but i hav…
1658680345351315456,Agent00sonic,"@AmazonHelp Thank you, contact has been made!"
1658680023476477952,YugalJunghare,"RT @Zircoz: @AmazonHelp @hamesjalpert Most probably .in
Because last time I checked, Bihar was in India."
1658679577991081984,peachs0ju,@AmazonHelp They advised for me to wait for the specialist team to get back to me. All I want is my money refunded to my card.
1658679387624202242,VivekBh99465867,"@AmazonHelp @amazonIN PATHETIC EXPERIENCE FROM AMAZON FOR ORDER ID 158299770613

DISGUSTING ....IMPROVE SLA OF YOUR CSD"
1658678260023058432,swiftsadprose,@AmazonHelp sorry i don’t notice the particular carriers going to my neighbors house i’m not a stalker. i don’t nee… https://t.co/OgSFRAF1IG
1658678073116749824,Ramesh_2828,@AmazonHelp jr.inbox@gmail.com
