Tweet ID,Username,Text
1658691138058854400,AmazonHelp,@praveenbajpai14 We'd like to have a closer look at this. Kindly connect with our Social Media team using the link… https://t.co/cU8UFqWqav
1658690967010934787,AmazonHelp,"@SadistSophi To better assist you, can you tell us a little more about the concern you're having? We want to help a… https://t.co/JSE8WfJgK7"
1658690865811058696,weprintonthat,@AmazonHelp Amazon packed well delivered fast just a bad product box
1658690803617628161,AmazonHelp,"@SadistSophi We're terribly sorry to hear you're having an issue. However, we encourage not including personally id… https://t.co/5WS7U8XhmH"
1658690768209420288,AmazonHelp,"@aniketgupta101 Also, please don’t provide your order/account details as we consider them to be personal informatio… https://t.co/8AV2HEM4FL"
1658690764702990337,AmazonHelp,@Diabolic_Hyun We're sorry to hear this. We want to ensure all goes well with your purchase. Please keep us posted… https://t.co/4kbRjL4lxh
1658690759472697351,AmazonHelp,@sourabhbadola8 We're sorry for the trouble with the return of your order. Could you let us know the exact resoluti… https://t.co/uauE34ZcwX
1658690747825266690,jpawaninder,"@AmazonHelp It’s not about the refund, it’s about fake product and customer trust on Amazon. Why Amazon don’t check… https://t.co/SFXeZ4IuWs"
1658690558792015872,AmazonHelp,"@Brigitt93563337 Without sharing any personal or account information, can you tell us which websites you use, .com,… https://t.co/hIC0rxAWIr"
1658690530564530176,nibaofficial_13,@amazonIN Hi @AmazonHelp i haven't received my prize what do i do to claim?
1658690463757479936,AmazonHelp,@aniketgupta101 We apologize for the disappointment with regard to the cancellation of your order. This isn't inten… https://t.co/wbIQMp3HK6
1658690462826242049,AmazonHelp,"@PiyushR29234436 We understand your concern regarding delivery. We'd like to help you with this, please reach out t… https://t.co/PwYjgCtXud"
1658690419629371392,MustLoveTea7,@AmazonHelp Its now been 7 days and I still haven't got it.
1658690202100015105,AmazonHelp,"@swiftsadprose You can use the link provided above, and follow these steps: 
1. Sign In 
2. Select 'Something Else'… https://t.co/5nHRazjMvE"
1658690190813061127,AmazonHelp,"@Gosadhna Also, please don’t provide your order/account details as we consider them to be personal information. Our… https://t.co/yl0qTJxfSE"
1658690147242901504,JosephRYE94,"@AmazonHelp I use both the shopping app and the website. I made a phone call about it, but there was no solution. I… https://t.co/fB7ZbZu5lM"
1658690123377045504,AmazonHelp,"@Gosadhna We'd like to help you with this, please reach out to us via DM. We will do our best to assist. Further, p… https://t.co/SGgluoW8G4"
1658690105798688770,AmazonHelp,"@nadaraj_sooraj As you have reached out to Social Media team via chat, the issue was escalated to the concerned tea… https://t.co/MpBuyDJuxh"
1658690004749565954,AmazonHelp,"@AYUSH__AGRAWAL We get you're upset. We'd like to help you with this, please reach out to us via DM. We will do our… https://t.co/q8wMa1yiPz"
1658689683159752705,AmazonHelp,"@EddieFreshMagi1 We're happy to hear about this! If you have any future questions or concerns, please don't hesitate to reach out. -Braden"
1658689523373727746,Brigitt93563337,@AmazonHelp Ok I officially give up. It's still not working . I will not try again. You better reach out to me. I w… https://t.co/hTA5TKMraL
1658689517040070657,AmazonHelp,@JosephRYE94 Are you using the shopping app or our website? -Shannon
1658689294276476929,AmazonHelp,"@jpawaninder Once the order is returned, it will take 7-10 business days for the item to be returned to warehouse a… https://t.co/ZCceJxMQtv"
1658689062885007360,AmazonHelp,"@_ShesAGoGetta Hi there. Are you experiencing an issue we can assist with? We're here to help however we can.
 -Shannon"
1658689025560186881,PiyushR29234436,@amazonIN @AmazonHelp what is going on here? Same address same item but different delivery time with a gap of 1 mon… https://t.co/QFy1TrSWiJ
1658688969704439808,AmazonHelp,@MustLoveTea7 Please don’t provide your order/account details as we consider them to be personal information. Our T… https://t.co/Nyw5joPpKa
1658688894508969984,AmazonHelp,@MustLoveTea7  Apologies for the unpleasant experience with your order delivery. Could you please confirm the curre… https://t.co/BcvS13Rs3H
1658688839509069825,AmazonHelp,"@HPadalekar Also, please don’t provide your order/account details as we consider them to be personal information. O… https://t.co/GpR2iggZ7t"
1658688792767627264,AmazonHelp,"@HPadalekar Kindly let us know what our support team has proposed as a solution, we'll assist you accordingly. 1/2 -Mohammed"
1658688738418126849,JosephRYE94,@AmazonHelp Hello. “https://t.co/PRrMyceUMA”
1658688730352197632,AmazonHelp,"@Ramesh_2828 As mentioned, we request you to reach out to our support team via the link earlier provided. However,… https://t.co/Tg8BqOsK9G"
1658688549804470272,MohdZee83666106,"RT @Saidul885: @AmazonHelp Order ID - 406-1439970-4381149 
I am complaining from  5 month but concern team whenever call says team is worki…"
1658688496100605954,Agent00sonic,"@AmazonHelp Shall and Will! It was through the seller's website through email, but I will try through the page that was provided! Thank you!"
1658688490316414978,AmazonHelp,"@JosephRYE94 Hi there. We're sorry to hear this. We'd love to assist with this, but need a bit more information to… https://t.co/1rhq0Zw2Ol"
1658688394283855872,jpawaninder,"@AmazonHelp Just made a return request for the same, what else I can do? 

@JBLaudio"
1658688290256502785,AmazonHelp,"@smtechnvlogs Hi there. We don't have account access via Twitter, but want to help. Please reach out to us here:… https://t.co/WVbOUHa18M"
1658688227535122432,HPadalekar,"@AmazonHelp @amazonIN  tracking id.323958282633 Order no 408-0469810-5589911
having issues with this  tracking no s… https://t.co/vd1Fs7FPq3"
1658688111059038209,AmazonHelp,@praveenbajpai14 @amazonIN @amazon @AmazonNews_IN Please don’t provide your order/account details as we consider th… https://t.co/0RI7sUoLKU
1658687980746465280,bajpaiankit11,@praveenbajpai14 @amazonIN @amazon @AmazonNews_IN @AmazonHelp Customer care call kro refund kre turnt .
1658687970759659526,AmazonHelp,@praveenbajpai14 @amazonIN @amazon @AmazonNews_IN We're sorry to hear the items are missing from your order. We'd l… https://t.co/ZNuigLg11q
1658687944348114946,AmazonHelp,@jpawaninder Apologies for the inconvenience with your order. Please contact our support team by using this link:… https://t.co/4KYoCrA6Qe
1658687876853551104,swiftsadprose,@AmazonHelp the link just takes me to your basic customer service page and where i don’t see any option for “delive… https://t.co/5LF1dkqRom
1658687801993625600,JosephRYE94,"When i want to connect to online chat i get ""we hit a snag with chat"" error. Can you help me fix this? @AmazonHelp"
1658687787078504449,AmazonHelp,@66thakur99 Request you to please check if the item is shipped and delivered by Amazon or seller. -Mohammed
1658687786529214466,EddieFreshMagi1,@AmazonHelp The matter has since been resolved I thank you and appreciate your Amazon services
1658687718010789888,AmazonHelp,"@Bretiful Hello! We're very sorry for any frustration with your delivery. To clarify, can you tell us the name of t… https://t.co/IjVALnN2Xr"
1658687430948450304,AmazonHelp,@josenuevo00007 Hi! Do you need assistance? -Audriana
1658687391073452032,badrik1216,RT @badrik1216: @AmazonHelp Your rescue team said advance refund will be assigned if it continuously fails to pickup. But it's not happenin…
1658687354314321921,AmazonHelp,"@Ramesh_2828 As informed, kindly reach out to our support team via call so that our team can assist you further.  -Supriya"
1658687202186985474,AmazonHelp,"@sree2282 We've responded to your concern here : https://t.co/NMq4ZCfAOi
Kindly check. 
 -Mohammed"
1658687148034326528,AmazonHelp,@anilntech Please contact our support team by using this link: https://t.co/oTtc5d3ZaW for further assistance. Also… https://t.co/awULQi8mu5
1658687092279463939,AmazonHelp,"@2strapp When you have a moment, please reach out here: https://t.co/jzvkhdlrK5. Choose ""My password isn't working""… https://t.co/hy9oOgynFT"
1658686940848484352,anilntech,@AmazonHelp Okay noted. Pl needful about my request
1658686858644328449,badrik1216,@AmazonHelp Your rescue team said advance refund will be assigned if it continuously fails to pickup. But it's not… https://t.co/XAC36uvx3q
1658686824389246976,AmazonHelp,@2strapp We encourage not including personally identifiable information over social media. If you’d like to delete… https://t.co/gymD0IUOjr
1658686782077292544,66thakur99,"@AmazonHelp On item's page, it is clearly mentioned that over ₹499 order it will be dispatched free, still ₹40 deli… https://t.co/OILJFe2V8s"
1658686670965727233,AmazonHelp,"@TurboDingus We understand your concern. When you have a moment, please use our online return center to review retu… https://t.co/OlXeWjMtdd"
1658686577764347910,Dillguy9,"@AmazonHelp Restarted the device and the issue is a little better, but it still took two minutes for the first song to load"
